scheme,cost_bps,variant,start,end,n_months,cagr,vol,sharpe,sortino,max_dd,ulcer,time_in_market,ann_turnover,whipsaw_roundtrips_per_decade,gross_cagr
equal_weight,0,B,2004-04-30,2026-07-31,268,0.0728,0.1064,0.5612,0.8196,-0.3445,6.9440,1.0000,0.0000,0.0000,0.0728
equal_weight,0,C,2004-04-30,2026-07-31,268,0.0641,0.0765,0.6363,0.9911,-0.1262,5.7383,0.7910,1.5224,7.6119,0.0641
equal_weight,0,D,2004-04-30,2026-07-31,268,0.0620,0.0631,0.7249,1.1673,-0.0816,2.5117,0.6796,1.8750,75.0000,0.0620
equal_weight,0,E,2004-04-30,2026-07-31,268,0.0614,0.0602,0.7477,1.2191,-0.0674,2.2480,0.6571,1.6844,75.0000,0.0614
equal_weight,5,B,2004-04-30,2026-07-31,268,0.0728,0.1064,0.5612,0.8196,-0.3445,6.9440,1.0000,0.0000,0.0000,0.0728
equal_weight,5,C,2004-04-30,2026-07-31,268,0.0633,0.0765,0.6261,0.9746,-0.1284,5.9907,0.7910,1.5224,7.6119,0.0641
equal_weight,5,D,2004-04-30,2026-07-31,268,0.0610,0.0631,0.7100,1.1403,-0.0820,2.5732,0.6796,1.8750,75.0000,0.0620
equal_weight,5,E,2004-04-30,2026-07-31,268,0.0605,0.0602,0.7336,1.1929,-0.0678,2.2894,0.6571,1.6844,75.0000,0.0614
equal_weight,10,B,2004-04-30,2026-07-31,268,0.0728,0.1064,0.5612,0.8196,-0.3445,6.9440,1.0000,0.0000,0.0000,0.0728
equal_weight,10,C,2004-04-30,2026-07-31,268,0.0625,0.0765,0.6159,0.9581,-0.1308,6.2492,0.7910,1.5224,7.6119,0.0641
equal_weight,10,D,2004-04-30,2026-07-31,268,0.0600,0.0631,0.6952,1.1133,-0.0824,2.6372,0.6796,1.8750,75.0000,0.0620
equal_weight,10,E,2004-04-30,2026-07-31,268,0.0596,0.0602,0.7196,1.1668,-0.0682,2.3330,0.6571,1.6844,75.0000,0.0614
equal_weight,20,B,2004-04-30,2026-07-31,268,0.0728,0.1064,0.5612,0.8196,-0.3445,6.9440,1.0000,0.0000,0.0000,0.0728
equal_weight,20,C,2004-04-30,2026-07-31,268,0.0609,0.0766,0.5954,0.9248,-0.1455,6.8233,0.7910,1.5224,7.6119,0.0641
equal_weight,20,D,2004-04-30,2026-07-31,268,0.0581,0.0631,0.6655,1.0598,-0.0832,2.7748,0.6796,1.8750,75.0000,0.0620
equal_weight,20,E,2004-04-30,2026-07-31,268,0.0578,0.0602,0.6915,1.1149,-0.0691,2.4259,0.6571,1.6844,75.0000,0.0614
inverse_vol,0,B,2007-04-30,2026-07-31,232,0.0611,0.0894,0.5552,0.8214,-0.2191,5.5091,1.0000,0.2217,0.0000,0.0611
inverse_vol,0,C,2007-04-30,2026-07-31,232,0.0596,0.0635,0.7287,1.1935,-0.0928,2.8905,0.7931,1.2789,5.6897,0.0596
inverse_vol,0,D,2007-04-30,2026-07-31,232,0.0531,0.0533,0.7402,1.2454,-0.0639,2.0041,0.6591,2.0620,76.2931,0.0531
inverse_vol,0,E,2007-04-30,2026-07-31,232,0.0516,0.0494,0.7654,1.2983,-0.0583,1.9120,0.6336,1.6986,76.2931,0.0516
inverse_vol,5,B,2007-04-30,2026-07-31,232,0.0610,0.0894,0.5540,0.8194,-0.2193,5.5158,1.0000,0.2217,0.0000,0.0611
inverse_vol,5,C,2007-04-30,2026-07-31,232,0.0590,0.0635,0.7185,1.1751,-0.0946,2.9553,0.7931,1.2789,5.6897,0.0596
inverse_vol,5,D,2007-04-30,2026-07-31,232,0.0520,0.0533,0.7206,1.2071,-0.0651,2.0616,0.6591,2.0620,76.2931,0.0531
inverse_vol,5,E,2007-04-30,2026-07-31,232,0.0507,0.0494,0.7481,1.2639,-0.0592,1.9501,0.6336,1.6986,76.2931,0.0516
inverse_vol,10,B,2007-04-30,2026-07-31,232,0.0609,0.0894,0.5528,0.8173,-0.2195,5.5225,1.0000,0.2217,0.0000,0.0611
inverse_vol,10,C,2007-04-30,2026-07-31,232,0.0583,0.0635,0.7082,1.1566,-0.0965,3.0220,0.7931,1.2789,5.6897,0.0596
inverse_vol,10,D,2007-04-30,2026-07-31,232,0.0509,0.0533,0.7009,1.1690,-0.0663,2.1221,0.6591,2.0620,76.2931,0.0531
inverse_vol,10,E,2007-04-30,2026-07-31,232,0.0499,0.0495,0.7308,1.2297,-0.0601,1.9944,0.6336,1.6986,76.2931,0.0516
inverse_vol,20,B,2007-04-30,2026-07-31,232,0.0607,0.0894,0.5503,0.8132,-0.2199,5.5359,1.0000,0.2217,0.0000,0.0611
inverse_vol,20,C,2007-04-30,2026-07-31,232,0.0569,0.0635,0.6875,1.1194,-0.1002,3.1781,0.7931,1.2789,5.6897,0.0596
inverse_vol,20,D,2007-04-30,2026-07-31,232,0.0488,0.0534,0.6616,1.0939,-0.0686,2.2526,0.6591,2.0620,76.2931,0.0531
inverse_vol,20,E,2007-04-30,2026-07-31,232,0.0481,0.0495,0.6962,1.1622,-0.0619,2.0865,0.6336,1.6986,76.2931,0.0516
narrowed_trend_strong,0,B,2004-04-30,2026-07-31,268,0.0682,0.1201,0.4742,0.6830,-0.4187,9.3697,1.0000,0.0000,0.0000,0.0682
narrowed_trend_strong,0,C,2004-04-30,2026-07-31,268,0.0711,0.0815,0.6829,1.1120,-0.1097,4.2761,0.7724,1.3433,6.7164,0.0711
narrowed_trend_strong,0,D,2004-04-30,2026-07-31,268,0.0637,0.0699,0.6833,1.0941,-0.1366,4.0507,0.6731,1.8000,45.0000,0.0637
narrowed_trend_strong,0,E,2004-04-30,2026-07-31,268,0.0634,0.0664,0.7122,1.1555,-0.0812,2.9632,0.6553,1.7100,45.0000,0.0634
narrowed_trend_strong,5,B,2004-04-30,2026-07-31,268,0.0682,0.1201,0.4742,0.6830,-0.4187,9.3697,1.0000,0.0000,0.0000,0.0682
narrowed_trend_strong,5,C,2004-04-30,2026-07-31,268,0.0704,0.0815,0.6748,1.0976,-0.1115,4.3445,0.7724,1.3433,6.7164,0.0711
narrowed_trend_strong,5,D,2004-04-30,2026-07-31,268,0.0627,0.0699,0.6705,1.0711,-0.1376,4.1251,0.6731,1.8000,45.0000,0.0637
narrowed_trend_strong,5,E,2004-04-30,2026-07-31,268,0.0625,0.0664,0.6993,1.1316,-0.0822,3.0264,0.6553,1.7100,45.0000,0.0634
narrowed_trend_strong,10,B,2004-04-30,2026-07-31,268,0.0682,0.1201,0.4742,0.6830,-0.4187,9.3697,1.0000,0.0000,0.0000,0.0682
narrowed_trend_strong,10,C,2004-04-30,2026-07-31,268,0.0697,0.0815,0.6666,1.0832,-0.1133,4.4138,0.7724,1.3433,6.7164,0.0711
narrowed_trend_strong,10,D,2004-04-30,2026-07-31,268,0.0618,0.0699,0.6576,1.0482,-0.1386,4.2194,0.6731,1.8000,45.0000,0.0637
narrowed_trend_strong,10,E,2004-04-30,2026-07-31,268,0.0616,0.0664,0.6863,1.1078,-0.0832,3.0908,0.6553,1.7100,45.0000,0.0634
narrowed_trend_strong,20,B,2004-04-30,2026-07-31,268,0.0682,0.1201,0.4742,0.6830,-0.4187,9.3697,1.0000,0.0000,0.0000,0.0682
narrowed_trend_strong,20,C,2004-04-30,2026-07-31,268,0.0683,0.0815,0.6501,1.0542,-0.1168,4.5594,0.7724,1.3433,6.7164,0.0711
narrowed_trend_strong,20,D,2004-04-30,2026-07-31,268,0.0599,0.0699,0.6319,1.0027,-0.1405,4.4269,0.6731,1.8000,45.0000,0.0637
narrowed_trend_strong,20,E,2004-04-30,2026-07-31,268,0.0598,0.0665,0.6605,1.0605,-0.0851,3.2230,0.6553,1.7100,45.0000,0.0634
